,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
141,NICLBSL,                                        720.00,                                        -9.00,                                        -1.23,                                        723.00,                                        729.00,                                        716.00,"                                        2,288.00",                                        729.00
142,NICSF,                                        7.93,                                        0.19,                                        2.45,                                        7.64,                                        7.93,                                        7.64,"                                        4,700.00",                                        7.74
143,NIFRA,                                        185.00,                                        -0.70,                                        -0.38,                                        189.00,                                        189.00,                                        185.00,"                                        38,424.00",                                        185.70
144,NIL,                                        715.00,                                        -5.00,                                        -0.69,                                        722.00,                                        722.00,                                        711.10,"                                        4,685.00",                                        720.00
145,NLBBL,                                        815.10,                                        -8.10,                                        -0.98,                                        820.00,                                        823.00,                                        815.00,"                                        1,349.00",                                        823.20
146,NLG,                                        479.00,                                        -6.90,                                        -1.42,                                        486.00,                                        486.60,                                        477.00,"                                        4,480.00",                                        485.90
147,NLIC,                                        612.30,                                        -5.90,                                        -0.95,                                        615.00,                                        621.00,                                        610.00,"                                        21,956.00",                                        618.20
148,NLICL,                                        505.00,                                        -6.00,                                        -1.17,                                        516.00,                                        516.00,                                        504.00,"                                        5,883.00",                                        511.00
149,NMB,                                        234.50,                                        -2.20,                                        -0.93,                                        241.40,                                        241.40,                                        232.60,"                                        50,940.00",                                        236.70
150,NMB50,                                        8.55,                                        -0.20,                                        -2.29,                                        8.76,                                        8.76,                                        8.55,"                                        100,214.00",                                        8.75
151,NMBHF1,                                        9.15,                                        0.00,                                        0.00,                                        9.25,                                        9.25,                                        8.81,"                                        45,974.00",                                        9.15
152,NMBMF,                                        666.10,                                        -8.90,                                        -1.32,                                        675.00,                                        675.00,                                        666.00,"                                        1,286.00",                                        675.00
153,NMFBS,"                                        2,060.00",                                        60.00,                                        3.00,"                                        2,040.00","                                        2,162.00","                                        1,983.00","                                        9,808.00","                                        2,000.00"
154,NRIC,                                        688.10,                                        -8.70,                                        -1.25,                                        685.10,                                        735.00,                                        685.10,"                                        18,538.00",                                        696.80
155,NRN,                                        408.80,                                        -1.20,                                        -0.29,                                        401.90,                                        408.90,                                        401.90,"                                        7,633.00",                                        410.00
156,NSLB,                                        750.00,                                        -10.00,                                        -1.32,                                        745.00,                                        750.10,                                        745.00,                                        236.00,                                        760.00
157,NTC,                                        868.60,                                        -3.40,                                        -0.39,                                        861.00,                                        878.00,                                        861.00,"                                        9,359.00",                                        872.00
158,NUBL,                                        895.00,                                        -1.90,                                        -0.21,                                        903.00,                                        905.00,                                        886.00,"                                        3,509.00",                                        896.90
159,NYADI,                                        274.00,                                        2.30,                                        0.85,                                        270.00,                                        280.50,                                        270.00,"                                        1,747.00",                                        271.70
160,OHL,                                        490.00,                                        0.00,                                        0.00,                                        482.00,                                        490.00,                                        481.10,                                        760.00,                                        490.00
161,PBD88,                                        833.90,                                        6.90,                                        0.83,                                        832.70,                                        833.90,                                        832.70,                                        50.00,                                        827.00
162,PCBL,                                        226.90,                                        -1.00,                                        -0.44,                                        223.40,                                        227.90,                                        223.40,"                                        22,302.00",                                        227.90
163,PFL,                                        334.80,                                        -4.80,                                        -1.41,                                        332.90,                                        335.00,                                        331.10,"                                        1,845.00",                                        339.60
164,PIC,                                        520.00,                                        -15.00,                                        -2.80,                                        526.10,                                        530.00,                                        520.00,"                                        1,769.00",                                        535.00
165,PICL,                                        345.00,                                        -3.00,                                        -0.86,                                        352.00,                                        352.00,                                        345.00,"                                        1,201.00",                                        348.00
166,PMHPL,                                        197.00,                                        -1.50,                                        -0.76,                                        201.00,                                        201.00,                                        195.00,"                                        2,406.00",                                        198.50
167,PPCL,                                        294.00,                                        -4.10,                                        -1.38,                                        295.00,                                        300.00,                                        294.00,"                                        7,755.00",                                        298.10
168,PPL,                                        201.50,                                        -3.00,                                        -1.47,                                        200.80,                                        205.00,                                        200.80,"                                        6,620.00",                                        204.50
169,PRIN,                                        419.00,                                        3.00,                                        0.72,                                        413.20,                                        421.00,                                        413.00,"                                        1,106.00",                                        416.00
170,PROFL,                                        281.00,                                        -4.00,                                        -1.40,                                        290.00,                                        290.70,                                        279.30,"                                        6,989.00",                                        285.00
171,PRVU,                                        202.90,                                        -0.30,                                        -0.15,                                        204.00,                                        204.80,                                        201.50,"                                        43,142.00",                                        203.20
172,PSF,                                        7.71,                                        0.03,                                        0.39,                                        7.71,                                        7.75,                                        7.71,"                                        2,600.00",                                        7.68
173,RADHI,                                        216.00,                                        -3.90,                                        -1.77,                                        216.00,                                        220.00,                                        212.00,"                                        2,003.00",                                        219.90
174,RBCL,"                                        12,561.00",                                        11.00,                                        0.09,"                                        12,749.00","                                        12,750.00","                                        12,561.00",                                        80.00,"                                        12,550.00"
175,RBCLPO,"                                        9,951.00",                                        -150.00,                                        -1.49,"                                        10,101.00","                                        10,101.00","                                        9,951.00",                                        30.00,"                                        10,101.00"
176,RFPL,                                        229.00,                                        -0.40,                                        -0.17,                                        225.10,                                        238.00,                                        225.10,"                                        6,820.00",                                        229.40
177,RHGCL,                                        208.00,                                        -4.90,                                        -2.30,                                        217.10,                                        217.10,                                        206.20,"                                        2,910.00",                                        212.90
178,RHPL,                                        225.20,                                        -1.80,                                        -0.79,                                        231.50,                                        231.50,                                        225.10,"                                        11,030.00",                                        227.00
179,RIDI,                                        494.10,                                        -3.90,                                        -0.78,                                        507.90,                                        507.90,                                        493.20,"                                        66,788.00",                                        498.00
180,RLFL,                                        297.00,                                        -3.00,                                        -1.00,                                        300.00,                                        300.00,                                        297.00,"                                        6,007.00",                                        300.00
181,RMDC,                                        973.00,                                        -7.00,                                        -0.71,                                        984.00,                                        984.00,                                        955.00,"                                        18,987.00",                                        980.00
182,RMF1,                                        7.75,                                        0.11,                                        1.44,                                        7.75,                                        7.79,                                        7.75,                                        430.00,                                        7.64
183,RSDC,                                        528.10,                                        -17.90,                                        -3.28,                                        535.50,                                        545.00,                                        528.10,"                                        1,629.00",                                        546.00
184,RULB,                                        884.10,                                        -13.90,                                        -1.55,                                        880.20,                                        890.00,                                        880.20,                                        798.00,                                        898.00
185,RURU,                                        715.00,                                        9.40,                                        1.33,                                        719.00,                                        719.00,                                        705.00,"                                        1,529.00",                                        705.60
186,SABSL,                                        901.60,                                        -18.40,                                        -2.00,                                        908.10,                                        925.00,                                        901.60,                                        892.00,                                        920.00
187,SADBL,                                        297.30,                                        -5.00,                                        -1.65,                                        302.30,                                        307.90,                                        297.00,"                                        11,083.00",                                        302.30
188,SADBLP,                                        157.00,                                        0.00,                                        0.00,                                        157.00,                                        157.00,                                        157.00,"                                        19,710.00",                                        157.00
189,SAEF,                                        9.72,                                        -0.12,                                        -1.22,                                        9.75,                                        9.75,                                        9.68,"                                        25,925.00",                                        9.84
190,SAHAS,                                        442.00,                                        -3.00,                                        -0.67,                                        439.00,                                        450.00,                                        439.00,"                                        7,871.00",                                        445.00
191,SANIMA,                                        234.10,                                        -4.80,                                        -2.01,                                        238.00,                                        239.00,                                        234.00,"                                        13,811.00",                                        238.90
192,SAPDBL,                                        218.80,                                        -4.20,                                        -1.88,                                        223.00,                                        223.00,                                        217.60,"                                        4,851.00",                                        223.00
193,SBCF,                                        7.15,                                        -0.01,                                        -0.14,                                        7.15,                                        7.26,                                        7.15,"                                        21,906.00",                                        7.16
194,SBI,                                        286.00,                                        0.00,                                        0.00,                                        289.90,                                        290.00,                                        281.50,"                                        6,612.00",                                        286.00
195,SBID83,                                        896.00,                                        -1.10,                                        -0.12,                                        895.00,                                        896.00,                                        895.00,                                        95.00,                                        897.10
196,SBL,                                        320.00,                                        1.10,                                        0.34,                                        325.00,                                        326.80,                                        319.50,"                                        48,314.00",                                        318.90
197,SCB,                                        402.70,                                        -3.80,                                        -0.93,                                        407.00,                                        407.10,                                        401.20,"                                        7,278.00",                                        406.50
198,SDLBSL,                                        930.00,                                        -34.00,                                        -3.53,                                        944.80,                                        944.80,                                        927.10,                                        394.00,                                        964.00
